time,CS1_waiting_num,CS1_charging_num,CS1_waiting_time,CS2_waiting_num,CS2_charging_num,CS2_waiting_time,CS3_waiting_num,CS3_charging_num,CS3_waiting_time,CS4_waiting_num,CS4_charging_num,CS4_waiting_time,CS5_waiting_num,CS5_charging_num,CS5_waiting_time,CS6_waiting_num,CS6_charging_num,CS6_waiting_time,CS7_waiting_num,CS7_charging_num,CS7_waiting_time,CS8_waiting_num,CS8_charging_num,CS8_waiting_time,CS0_waiting_num,CS0_charging_num,CS0_waiting_time,CS9_waiting_num,CS9_charging_num,CS9_waiting_time
2.54,0,0,0.014166666666665462,0,2,0.38499999999999845,0,2,0.709999999999998,0,0,1.710000000000009,0,0,1.0049999999999997,0,0,0.034999999999998484,0,2,0.16499999999999848,0,2,0.7362499999999992,0.0,0.0,7.021666666666718,5.0,8.0,0.0
2.55,0,0,0,0,1,0.37499999999999845,0,2,0.699999999999998,0,0,1.700000000000009,0,0,0.9949999999999997,0,0,0.024999999999998482,0,2,0.15499999999999847,0,2,0.7262499999999992,0.0,0.0,7.011666666666718,5.0,8.0,0.0
2.56,0,0,0,0,1,0.36499999999999844,0,2,0.689999999999998,0,0,1.690000000000009,0,0,0.9849999999999997,0,0,0.014999999999998482,0,2,0.14499999999999846,0,2,0.7162499999999992,0.0,0.0,7.001666666666718,5.0,8.0,0.0
2.57,0,0,0,0,1,0.35499999999999843,0,2,0.6799999999999979,0,0,1.680000000000009,0,0,0.9749999999999996,0,0,0,0,1,0.13499999999999845,0,2,0.7062499999999992,0.0,0.0,6.991666666666719,5.0,8.0,0.0
2.58,0,0,0,0,1,0.3449999999999984,0,2,0.6699999999999979,0,0,1.670000000000009,0,0,0.9649999999999996,0,0,0,0,1,0.12499999999999846,0,2,0.6962499999999991,0.0,0.0,6.981666666666719,5.0,8.0,0.0
2.59,0,0,0,0,1,0.3349999999999984,0,2,0.6599999999999979,0,0,1.660000000000009,0,0,0.9549999999999996,0,0,0,0,1,0.11499999999999846,0,2,0.6862499999999991,0.0,0.0,6.971666666666719,5.0,8.0,0.0
2.6,0,0,0,0,1,0.3249999999999984,0,2,0.6499999999999979,0,0,1.650000000000009,0,0,0.9449999999999996,0,0,0,0,1,0.10499999999999847,0,2,0.6762499999999991,0.0,0.0,6.961666666666719,5.0,8.0,0.0
2.61,0,0,0,0,1,0.3149999999999984,0,2,0.6399999999999979,0,0,1.640000000000009,0,0,0.9349999999999996,0,0,0,0,1,0.09499999999999847,0,2,0.6662499999999991,0.0,0.0,6.9516666666667195,5.0,8.0,0.0
2.62,0,0,0,0,0,0.3049999999999984,0,2,0.6299999999999979,0,0,1.630000000000009,0,0,0.9249999999999996,0,0,0,0,1,0.08499999999999848,0,2,0.6562499999999991,0.0,0.0,6.94166666666672,5.0,8.0,0.0
2.63,0,0,0,0,0,0.2949999999999984,0,2,0.6199999999999979,0,0,1.620000000000009,0,0,0.9149999999999996,0,0,0,0,1,0.07499999999999848,0,2,0.6462499999999991,0.0,0.0,6.93166666666672,5.0,8.0,0.0
2.64,0,0,0,0,0,0.28499999999999837,0,2,0.6099999999999979,0,0,1.610000000000009,0,0,0.9049999999999996,0,0,0,0,1,0.06499999999999849,0,2,0.6362499999999991,0.0,0.0,6.92166666666672,5.0,8.0,0.0
